Supplier Name,Product name,MPN,Supplier Cost,Supplier stock,Brand
Wortmann,"SSD 2.5"" SAS3 1.92TB  Samsung PM1653",MZILG1T9HCJR-00A07,458.08,361,Samsung
Wortmann,"SSD 2.5"" SAS3 3.84TB  Samsung PM1653",MZILG3T8HCLS-00A07,771.68,156,Samsung
Wortmann,Brother HL-L2400DW SW-Laser,HLL2400DWRE1,113.68,115,Brother 
Wortmann,Papierzuf. Brother 520 Blatt LT-6500,LT-6500,166.88,16,Brother 
Wortmann,Toner Brother TN-2000 black,TN2000,69.33,10,Brother 
Wortmann,Toner Brother TN-3512 (12k Seiten) black,TN3512,134.74,15,Brother 
Wortmann,Tinte Brother LC-3217C Cyan,LC3217C,11.42,11,Brother 
Wortmann,Toner Brother TN-3230 (3.000 Seiten) black,TN3230,72.24,10,Brother 
Wortmann,Toner Brother TN-3280 (8.000 Seiten) black,TN3280,117.60,23,Brother 
Wortmann,Toner Brother TN-2220 (2.600 Seiten) black,TN2220,58.91,16,Brother 
Wortmann,Trommel Brother DR-2200,DR2200,66.98,12,Brother 
Wortmann,Toner Brother TN-325BK black,TN325BK,60.26,25,Brother 
Wortmann,Toner Brother TN-325C cyan,TN325C,125.78,14,Brother 
Wortmann,Toner Brother TN-325M magenta,TN325M,125.78,14,Brother 
Wortmann,Toner Brother TN-325Y yellow,TN325Y,125.78,14,Brother 
Wortmann,Tinte Brother LC-1240Y yellow ( 600 Blatt),LC1240Y,12.88,11,Brother 
Wortmann,Tinte Brother LC-123BK Black,LC123BK,19.60,11,Brother 
Wortmann,Tinte Brother LC-123C cyan,LC123C,12.54,49,Brother 
Wortmann,Tinte Brother LC-123M magenta,LC123M,12.54,45,Brother 
Wortmann,Tinte Brother LC-123Y yellow,LC123Y,12.54,40,Brother 
Wortmann,Tinte Brother LC-129XLBK Black,LC129XLBK,27.44,15,Brother 
Wortmann,Toner Brother TN-2320 black,TN2320,61.49,12,Brother 
Wortmann,Tinte Brother LC-223BK Black,LC223BK,18.03,29,Brother 
Wortmann,Tinte Brother LC-223Y Yellow,LC223Y,11.76,28,Brother 
Wortmann,Toner Brother TN-242BK black,TN242BK,60.48,11,Brother 
Wortmann,Toner Brother TN-3480 (8.000 Seiten) black,TN3480,119.50,24,Brother 
Wortmann,Trommel Brother DR-3400,DR3400,140.11,30,Brother 
Wortmann,Toner Brother TN-421BK black,TN421BK,88.82,30,Brother 
Wortmann,Toner Brother TN-421Y Yellow,TN421Y,78.18,19,Brother 
Wortmann,Toner Brother TN-421C Cyan,TN421C,78.18,11,Brother 
Wortmann,Toner Brother TN-421M Magenta,TN421M,78.18,14,Brother 
Wortmann,Toner Brother TN-246C cyan,TN-246C,84.90,14,Brother 
