Supplier Name,Brand,MPN,Product name,Supplier stock,Supplier Cost
Rutronik,2J,2J6600B-600RG174HF-C20N-C20N,Ant.2J6600B 6m RG174HF SMA SMA,0,24.58
Rutronik,2J,2J6600BG-500RG174-C20NSTC20NST,2J6600B COMBO GSM/GPS 5M SMA/m NI,0,38.35
Rutronik,2J,2J6601B-500RG174-C20N,Ant.2J6601B GPS 5m cable SMA/M,0,16.16
Rutronik,2J,2J6601B-600RG174-C20N,Ant.2J6601B GPS 6m cable SMA/M,0,13.53
Rutronik,2J,2J6602B-050LL100-C20NST,2J6602B-050LL100-C20NST,0,10.21
Rutronik,2J,2J6602B-050RG178-U.FL,"Wlan Ant.2J6602 0,5m RG178 U.FL",0,10.52
Rutronik,2J,2J6602B-100RG174-C115N,"2J6602 Wlan Antenna 1,0m RP-SMA",0,15.12
Rutronik,2J,2J6602B-100RG174-C528G,"Wlan ant. 2J6602 1m RG174,SMA/M",0,15.95
Rutronik,2J,2J6602B-200DACAR302-C20N,2J6602B ScrewM 2.4/5.0 2m SMA/M,0,24.56
Rutronik,2J,2J6602B-500RG174-C115N,"Wlan ant. 2J6602 5,0M RP-SMA",0,9.76
Rutronik,2J,2J6602B-RB-030MC137-MHF4L,2J6602B-RB Screw 2.4/5.0 MHF4L 30cm,0,0
Rutronik,2J,2J6603B-020LL100-C51N-C51N,Ant.2J6603B 20cm 2xMCX/Male,0,32.79
Rutronik,2J,2J6603B-300RG174-C20N-C20N,Ant.2J6603B WLAN/GPS 2x SMA/M,0,18.07
Rutronik,2J,2J6603B-600RG174-C20N-C115N,Ant.2J6603 GPS SMA/M WLAN RPSMA,0,24.85
Rutronik,2J,2J6603BG-400RG174HF-C20N-C20N,Ant.2J6603BG WLAN & GPS/GLONAS,0,33.52
Rutronik,2J,2J6603BGF-011LL100-C43NYST-C43NBST,2J6603BGF-011LL100-C43NYST-C43NBST,0,20.04
Rutronik,2J,2J6603BGF-020LL100C51N-020RG,2J6603BGF GNSS Antenna Black,0,32.65
Rutronik,2J,2J6604B-040RG174-C20N,Hole m. Penta band 40cm SMA/m,0,14.47
Rutronik,2J,2J6604B-060RG174-C04N,2J6604B Ant. Penta band FME/f,0,9.9
Rutronik,2J,2J6604B-100RG174-C44N,2J6604B Hole m. ant. MMCX/m R/A,0,13.18
Rutronik,2J,2J6604B-300RG174-C04N,Hole m. ant. Penta band FME/f,0,13.55
Rutronik,2J,2J6604B-300RG174-C05N,2J6604B Hole m.Ant. MMCX/m str.,0,13.28
Rutronik,2J,2J6604B-300RG174-C20N,Hole m. ant. Penta band SMA/m,0,13.28
